timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-05-14,169.04,174.78,165.36,174.45,164.098514712,4174949,0.0,1.0
2020-05-15,173.48,174.09,170.58,171.87,161.671606326,2864898,0.0,1.0
2020-05-18,177.71,183.1,175.24,181.88,171.087634599,4505503,0.0,1.0
2020-05-19,180.56,182.19,177.72,177.83,167.277952831,2209890,0.0,1.0
2020-05-20,180.95,183.83,180.3,181.44,170.673743247,2598114,0.0,1.0
2020-05-21,180.2,181.17,177.68,180.1,169.413255945,2153346,0.0,1.0
2020-05-22,180.03,180.64,178.06,179.93,169.253343377,2174148,0.0,1.0
2020-05-26,185.63,197.1,185.22,196.06,184.426224101,5967436,0.0,1.0
2020-05-27,203.0,210.71,200.01,209.66,197.219229548,8173595,0.0,1.0
2020-05-28,210.84,211.31,201.21,201.22,189.280040874,4883897,0.0,1.0
2020-05-29,197.23,200.92,194.65,196.49,186.006536539,3822562,1.25,1.0
2020-06-01,197.31,201.77,195.12,199.93,189.262999899,2230846,0.0,1.0
2020-06-02,203.77,206.5,201.32,204.14,193.248380931,4127148,0.0,1.0
2020-06-03,208.49,211.93,206.43,210.57,199.335316805,3468156,0.0,1.0
2020-06-04,208.79,214.99,207.96,214.82,203.358563689,3520905,0.0,1.0
2020-06-05,222.0,222.98,217.66,217.92,206.293167299,4736613,0.0,1.0
2020-06-08,220.02,222.26,218.24,220.81,209.02897518,3257325,0.0,1.0
2020-06-09,215.74,220.02,215.16,218.1,206.463563637,2471074,0.0,1.0
2020-06-10,217.39,219.85,212.8,213.52,202.127923466,3083164,0.0,1.0
2020-06-11,204.7,206.9,194.02,194.13,183.77245121,4919060,0.0,1.0
2020-06-12,200.62,202.94,196.21,201.78,191.014295602,3379318,0.0,1.0
2020-06-15,195.73,206.99,195.15,206.31,195.302603457,3466854,0.0,1.0
2020-06-16,214.98,214.98,203.73,209.59,198.407603406,3098751,0.0,1.0
2020-06-17,210.0,210.79,205.44,206.19,195.189005898,1795411,0.0,1.0
2020-06-18,203.99,207.26,202.67,203.84,192.964387033,2048823,0.0,1.0
2020-06-19,207.05,207.42,200.97,201.63,190.872298653,4961111,0.0,1.0
2020-06-22,200.99,204.58,200.0,203.42,192.566795576,1804942,0.0,1.0
2020-06-23,206.5,207.51,203.64,204.78,193.854234579,2450539,0.0,1.0
2020-06-24,202.34,202.61,197.38,198.02,187.454905417,2754467,0.0,1.0
2020-06-25,197.86,207.39,197.61,207.1,196.050454055,3440604,0.0,1.0
2020-06-26,199.0,200.24,188.51,189.19,179.096018361,9518967,0.0,1.0
2020-06-29,191.38,193.9,188.66,193.47,183.147664635,3735957,0.0,1.0
2020-06-30,193.84,198.41,193.62,197.62,187.076246887,3101555,0.0,1.0
2020-07-01,198.88,199.74,195.52,197.57,187.028914571,2620446,0.0,1.0
2020-07-02,202.5,203.0,197.13,197.4,186.867984695,2698844,0.0,1.0
2020-07-06,201.34,207.79,201.13,207.36,196.296582099,3564552,0.0,1.0
2020-07-07,205.5,205.71,199.19,199.36,188.723411494,2851687,0.0,1.0
2020-07-08,199.54,203.25,199.02,202.25,191.459219375,2787428,0.0,1.0
2020-07-09,202.11,202.5,195.0,196.83,186.32839629,3157954,0.0,1.0
2020-07-10,196.87,206.32,196.83,205.56,194.592618713,4411627,0.0,1.0
2020-07-13,209.0,212.98,207.0,208.88,197.735484514,4433246,0.0,1.0
2020-07-14,211.43,214.3,207.01,214.01,202.591780165,5181462,0.0,1.0
2020-07-15,224.37,225.24,214.69,216.9,205.327588047,12482019,0.0,1.0
2020-07-16,213.51,220.46,213.5,214.67,203.21656674,5760908,0.0,1.0
2020-07-17,214.9,215.17,211.25,211.41,200.130499718,3614014,0.0,1.0
2020-07-20,210.73,213.17,210.25,211.71,200.414493616,2263288,0.0,1.0
2020-07-21,212.25,213.81,210.39,212.02,200.707953977,3393501,0.0,1.0
2020-07-22,210.5,211.0,205.35,206.0,195.009143096,4978425,0.0,1.0
2020-07-23,205.1,206.0221,202.05,203.02,192.188137046,4088636,0.0,1.0
2020-07-24,203.0,204.93,201.32,201.47,190.720835241,3191549,0.0,1.0
2020-07-27,200.1,204.18,199.59,203.02,192.188137046,2601182,0.0,1.0
2020-07-28,201.91,203.6,201.09,201.62,190.86283219,2139771,0.0,1.0
2020-07-29,201.7,203.89,199.62,202.58,191.771612662,2634961,0.0,1.0
2020-07-30,199.5,199.99,196.3,199.53,188.884341369,3057922,0.0,1.0
2020-07-31,199.84,199.84,196.51,197.96,187.398106638,2401074,0.0,1.0
2020-08-03,198.49,199.88,196.53,199.39,188.751810883,2295652,0.0,1.0
2020-08-04,199.35,201.72,198.475,201.64,190.881765116,1944676,0.0,1.0
2020-08-05,203.17,204.8075,203.01,204.52,193.608106534,2323194,0.0,1.0
2020-08-06,205.0,206.29,203.83,204.25,193.352512026,1882367,0.0,1.0
2020-08-07,203.48,208.8,202.45,208.27,197.158030256,3074961,0.0,1.0
2020-08-10,209.59,210.64,208.04,209.38,198.208807677,2432770,0.0,1.0
2020-08-11,212.72,216.95,210.53,211.06,199.799173504,4042742,0.0,1.0
2020-08-12,214.7,215.95,209.27,212.13,200.812085073,2439593,0.0,1.0
2020-08-13,210.41,212.2,207.69,208.39,197.271627815,2219859,0.0,1.0
2020-08-14,207.46,209.48,206.61,207.97,196.874036358,2287572,0.0,1.0
2020-08-17,207.0,207.85,202.53,203.07,192.235469362,3895932,0.0,1.0
2020-08-18,203.45,203.58,201.1,201.31,190.569371829,3067854,0.0,1.0
2020-08-19,202.4,206.1,201.77,203.02,192.188137046,2458524,0.0,1.0
2020-08-20,200.76,203.28,200.34,201.85,191.080560845,1764214,0.0,1.0
2020-08-21,200.11,203.35,199.82,202.43,191.629615714,1781141,0.0,1.0
2020-08-24,203.11,207.43,201.32,207.34,196.277649173,3097432,0.0,1.0
2020-08-25,209.99,210.49,205.17,206.0,195.009143096,2627906,0.0,1.0
2020-08-26,205.89,207.28,205.03,207.22,196.164051614,2563236,0.0,1.0
2020-08-27,206.68,213.0,206.41,210.15,198.937725348,3692411,0.0,1.0
2020-08-28,211.89,212.0,207.09,207.71,196.627908313,3697406,0.0,1.0
2020-08-31,205.5,206.41,203.63,204.87,195.122740655,3046152,1.25,1.0
2020-09-01,203.6,206.71,203.01,205.46,195.684669767,2458801,0.0,1.0
2020-09-02,205.79,210.93,205.37,210.04,200.046763544,3565242,0.0,1.0
2020-09-03,211.75,215.23,205.83,207.56,197.684756433,3533485,0.0,1.0
2020-09-04,210.89,213.35,205.32,210.94,200.903943544,3668891,0.0,1.0
2020-09-08,209.51,209.96,201.27,202.48,192.846451544,4574748,0.0,1.0
2020-09-09,204.19,204.83,202.03,202.22,192.598821767,4681380,0.0,1.0
2020-09-10,203.73,205.35,199.55,200.01,190.493968656,2510274,0.0,1.0
2020-09-11,200.24,201.91,198.95,200.92,191.360672878,2376385,0.0,1.0
2020-09-14,203.3,203.3,200.67,201.34,191.760690211,2756891,0.0,1.0
2020-09-15,202.0,202.585,197.98,198.0,188.579599989,3717632,0.0,1.0
2020-09-16,198.49,203.8,198.07,200.68,191.132091545,3571873,0.0,1.0
2020-09-17,198.21,199.89,194.51,194.83,185.560421545,4274772,0.0,1.0
2020-09-18,195.01,196.65,192.3848,194.86,185.588994212,9066647,0.0,1.0
2020-09-21,189.9,194.17,187.47,194.0,184.769911101,4871299,0.0,1.0
2020-09-22,194.0,196.14,188.43,191.62,182.503146212,3355768,0.0,1.0
2020-09-23,192.0,192.915,185.865,186.12,177.26482399,3116142,0.0,1.0
2020-09-24,188.98,197.4594,187.05,195.11,185.827099767,5114566,0.0,1.0
2020-09-25,192.96,195.39,189.6085,194.95,185.674712212,3105989,0.0,1.0
2020-09-28,197.78,201.865,197.15,199.07,189.598691767,3280138,0.0,1.0
2020-09-29,198.16,198.77,195.43,196.79,187.4271691,2401523,0.0,1.0
2020-09-30,198.68,203.08,198.36,200.97,191.408293989,3075829,0.0,1.0
2020-10-01,201.53,203.13,197.8738,198.55,189.103432211,2288651,0.0,1.0
2020-10-02,195.34,200.6999,195.29,199.9,190.389202211,2541588,0.0,1.0
2020-10-05,201.93,202.84,199.59,201.8,192.198804433,2551633,0.0,1.0
2020-10-06,204.25,206.09,199.9,201.09,191.522584656,2833119,0.0,1.0
2020-10-07,203.9,205.0,201.17,203.6,193.913164433,2326917,0.0,1.0
2020-10-08,205.15,208.16,204.11,207.98,198.084773766,2330609,0.0,1.0
2020-10-09,208.76,209.81,206.07,207.54,197.665707989,3040923,0.0,1.0
2020-10-12,207.41,214.89,207.41,214.12,203.932646211,3474215,0.0,1.0
2020-10-13,214.01,214.11,209.18,210.81,200.780128655,3317312,0.0,1.0
2020-10-14,213.88,214.45,210.27,211.23,201.180145988,7557023,0.0,1.0
2020-10-15,209.58,210.73,206.9,208.6,198.675275544,4334014,0.0,1.0
2020-10-16,208.32,209.995,205.81,206.21,196.398986433,3246646,0.0,1.0
2020-10-19,207.39,207.91,204.59,205.69,195.903726878,3235296,0.0,1.0
2020-10-20,206.7,211.38,206.465,208.03,198.132394878,3336684,0.0,1.0
2020-10-21,207.39,207.95,202.01,202.91,193.2559931,3083593,0.0,1.0
2020-10-22,203.2,206.365,202.2,205.4,195.627524433,2137823,0.0,1.0
2020-10-23,206.76,208.21,204.02,205.04,195.284652433,2110153,0.0,1.0
2020-10-26,202.49,202.81,198.51,201.14,191.570205767,3249695,0.0,1.0
2020-10-27,200.0,200.59,195.41,195.68,186.369980434,3430420,0.0,1.0
2020-10-28,191.31,193.365,188.94,189.77,180.741165101,4214584,0.0,1.0
2020-10-29,189.8,192.35,186.9,189.94,180.903076879,3581156,0.0,1.0
2020-10-30,189.51,190.4,185.52,189.04,180.045896879,3661181,0.0,1.0
2020-11-02,192.0,192.7,188.23,190.2,181.150706656,2459562,0.0,1.0
2020-11-03,193.94,199.0,193.22,197.93,188.512930434,4545470,0.0,1.0
2020-11-04,196.25,200.82,194.9,197.87,188.4557851,3868514,0.0,1.0
2020-11-05,199.65,204.12,199.06,202.96,193.303614211,2892815,0.0,1.0
2020-11-06,204.34,204.39,200.42,201.26,191.684496433,2475115,0.0,1.0
2020-11-09,214.49,218.0,209.37,214.93,204.70410821,6960521,0.0,1.0
2020-11-10,215.25,218.38,211.18,217.47,207.123260655,4166465,0.0,1.0
2020-11-11,218.64,219.92,215.03,218.05,207.675665544,2680710,0.0,1.0
2020-11-12,215.22,216.86,212.4,214.51,204.304090877,3009267,0.0,1.0
2020-11-13,215.85,220.96,215.41,219.08,208.656660432,2832645,0.0,1.0
2020-11-16,223.53,224.6,220.03,222.38,211.799653766,3004948,0.0,1.0
2020-11-17,220.02,224.85,218.33,224.65,213.96165221,2722921,0.0,1.0
2020-11-18,225.0,227.72,223.51,224.3,213.628304432,2856225,0.0,1.0
2020-11-19,224.3,224.94,222.11,224.57,213.885458432,1505154,0.0,1.0
2020-11-20,223.0,224.81,222.63,223.35,212.723503321,1848687,0.0,1.0
2020-11-23,226.06,230.0,225.73,228.83,217.942777099,3378180,0.0,1.0
2020-11-24,231.1,238.116,230.63,237.5,226.200277765,3900729,0.0,1.0
2020-11-25,235.0,237.45,232.43,236.54,225.285952432,2272937,0.0,1.0
2020-11-27,237.0,237.3,233.785,235.4,224.200191098,1050396,0.0,1.0
2020-11-30,232.05,235.0,230.36,230.58,219.609515987,2705408,0.0,1.0
2020-12-01,231.96,234.8704,231.35,232.08,222.228677098,2547939,1.25,1.0
2020-12-02,232.08,238.13,231.5822,237.65,227.562241953,2136313,0.0,1.0
2020-12-03,237.29,238.85,234.64,235.47,225.474778509,2142890,0.0,1.0
2020-12-04,237.7,239.75,236.95,239.58,229.410317387,2373011,0.0,1.0
2020-12-07,238.54,239.85,235.45,238.45,228.328283584,1788559,0.0,1.0
2020-12-08,237.01,239.19,236.58,238.84,228.701728879,1371782,0.0,1.0
2020-12-09,240.0,245.36,239.53,242.82,232.512785992,3552254,0.0,1.0
2020-12-10,240.0,245.1799,239.5138,244.4,234.025718213,2541804,0.0,1.0
2020-12-11,240.81,241.2,237.1,239.99,229.802913723,2077419,0.0,1.0
2020-12-14,243.28,243.5,237.39,237.79,227.696299238,1927781,0.0,1.0
2020-12-15,239.5,243.61,237.19,242.43,232.139340697,2348775,0.0,1.0
2020-12-16,243.56,243.9,241.12,243.77,233.422460429,2400910,0.0,1.0
2020-12-17,245.0,245.93,243.0,244.43,234.054444774,2983609,0.0,1.0
2020-12-18,245.39,245.39,240.56,242.13,231.852075085,4088144,0.0,1.0
2020-12-21,250.29,260.85,248.76,256.98,246.071722857,7408489,0.0,1.0
2020-12-22,256.86,257.7,249.8,250.09,239.474189312,3603652,0.0,1.0
2020-12-23,251.5,260.575,251.3,256.45,245.564220277,3376142,0.0,1.0
2020-12-24,257.04,257.62,253.75,256.16,245.286530186,968146,0.0,1.0
2020-12-28,257.81,262.655,257.0,259.59,248.570933678,2764519,0.0,1.0
2020-12-29,260.26,260.8606,256.5,258.01,247.058001457,1430868,0.0,1.0
2020-12-30,258.81,260.65,257.83,259.45,248.436876393,1566767,0.0,1.0
2020-12-31,258.8,263.93,258.0001,263.71,252.516048077,2043050,0.0,1.0
2021-01-04,267.0,267.58,260.16,265.0,253.751290206,3572043,0.0,1.0
2021-01-05,263.88,273.5,262.57,270.93,259.429573795,4207081,0.0,1.0
